ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
752645456,922065194,1080734703,579574786,223562979,1566510782,1345666358,190608027,19845706831
789703896,922395677,1082328025,578861058,220559191,1565741953,1347186164,190617444,20110272363
753010419,923204981,1081281910,578750914,219719615,1566775972,1347724078,190303225,19833620675
790557760,922606190,1081671164,579134400,222172824,1565688335,1348317144,190892146,20112387920
752244196,922506068,1080440226,579308933,223461769,1566030493,1348005693,190579303,19840112092
790342047,922839332,1081489816,580150939,223328768,1566201920,1347964215,190396679,20105690142
752143239,922215944,1081700247,579640452,223567448,1567090776,1347684542,190989718,19846284742
791319141,922595753,1080570212,577705726,223111656,1568583504,1347798136,190973631,20114965344
753304277,922971577,1079636873,579410955,220461736,1566619263,1348267072,190536037,19845055788
789652283,922858060,1079678989,579635052,223496834,1567353807,1348007694,190688838,20108359733
752586250,922867161,1080105403,579425055,223707148,1567092200,1347891444,190878591,19873667853
790439528,923139968,1080931457,580559784,224357268,1566957281,1347701862,190520848,20144509635
753646965,922822048,1080763096,578080680,223138236,1566688350,1347683817,190325774,19860222054
790229834,922177062,1080676342,579863539,217934630,1566872575,1348677207,190522714,20116348106
752599095,922251851,1081218435,579228423,223419240,1566283974,1347671902,190450607,19858786054
790472924,922543748,1081872123,577420039,222490460,1565930917,1347935584,190555710,20111011611
752144086,923237275,1079694722,578816250,221555930,1565975565,1348824486,190468257,19853990484
790141872,923038647,1080537469,579714513,222722519,1566197915,1347898222,190675164,20107955314
752880280,923494824,1086253002,577661708,224857513,1566218344,1349138771,190542161,19846496860
790620438,922108474,1086120723,578660070,220831791,1565983393,1348331036,190481467,20111721588
751867050,921962424,1086290138,579041154,220465601,1565665988,1347908837,190487693,19868477094
790618206,922970421,1083894721,577632020,224155387,1566047464,1347703494,190870050,20134942886
752642464,922986416,1080164228,580070301,225355416,1565761037,1347973457,190527764,19844003021
790714974,922830403,1080735292,579822509,220401665,1566452655,1348920221,190349669,20111333426
752742111,941956201,1080582936,578151533,223611240,1566319967,1347321307,190649092,19862014699
790818767,948764339,1081056142,578997006,223643963,1566239598,1347557074,190308159,20129749259
752405773,921816470,1081673736,578700608,223872615,1565549489,1347495295,190680777,19835836626
791316835,922160007,1080627154,579996788,222078075,1565620952,1347408983,190434543,20101185662
752402785,922610324,1080982323,579580594,220445852,1566967438,1347595658,190454775,19842048601
790467447,922868977,1083849950,578816787,220514188,1565911541,1347916942,190560579,20096931775
752889908,922604305,1083167176,578689152,223268433,1566026490,1348435793,190619913,19842693247
791068684,923091231,1080326238,577664060,223696048,1565499889,1348487206,190434468,20115349066
752662106,922302741,1080452119,579258011,222155020,1566121005,1348120080,190563368,19837869806
790486899,922462801,1080233230,579170244,220902386,1565783947,1348375991,190529532,20110189466
753030027,922582864,1079798713,579089216,223192830,1566907451,1348313217,190584577,19868900969
789914478,922489616,1080441119,579526729,220405408,1566600345,1348616218,190854523,20131207414
753008375,922398687,1080078288,580266405,224924035,1565419407,1347618080,190372702,19874261246
790245124,922836305,1080732052,578291831,224687580,1566046062,1347516958,190987005,20114806535
753468014,923445601,1081387618,580090242,223436303,1565930205,1348125011,190487569,19833161951
790076358,923847936,1080278373,579142451,224478695,1566284664,1347809082,190464000,20102952486
752756296,922107533,1080155325,578102656,222809515,1565818989,1348183270,190914432,19852099276
791289288,922488821,1080464774,579328613,222323140,1566389912,1347748521,190283077,20107337961
751652722,923073317,1081692388,580043998,224565493,1566394083,1347679756,190475602,19849798830
791698699,922443280,1080895436,578767623,224397853,1565794373,1347374400,190719781,20119698751
