ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
81015242,391531690,47271887,16187474,16734069,86732050,55307626,47241662,1184859457
81140658,391297257,47245468,16187100,16733703,86583391,55300681,47248643,1184760399
81093032,391014903,47244655,16195333,16729928,86391400,55306261,47248632,1184704831
81056490,391245933,47253386,16204296,16741732,86654915,55335991,47296338,1184819787
81110094,391259633,47270345,16197825,16732597,86672900,55312537,47295587,1184951090
81119182,391099886,47248142,16204252,16730691,86888554,55316489,47245207,1184887901
81164438,391323335,47222421,16199188,16737738,86792299,55337559,47270716,1184956938
81026162,391423867,47247659,16195798,16731444,86465929,55306559,47268901,1185091133
81025254,391071380,47260153,16205305,16733047,86738656,55291966,47247630,1184798439
81023416,391231525,47254183,16190777,16734485,86824818,55301000,47258674,1184903768
